Year;Maximum kVA;Percent growth;Energy (kWh) sold;Percent energy growth (%);Energy (kWh) purchased;Percent growth (%);Percent loss (%);Power factor at system peak (%);Average monthly load factor (%);Number of customers;;;;;
1978/1979;804613,00;0,04;4335416770,00;0,06;4563596600,00;0,06;0,05;;;175443;;;;;
1979/1980;853345,00;0,06;4618422364,00;0,07;4872542450,00;0,07;0,05;0,92;0,73;181261;;;;;
1980/1981;960246,00;0,13;5034342435,00;0,09;5288290000,00;0,09;0,05;0,96;0,72;198892;;;;;
1981/1982;1075492,00;0,12;5624814026,00;0,12;5981248000,00;0,13;0,06;0,90;0,73;198338;;;;;
1982/1983;1051830,00;-0,02;4998457230,00;-0,11;5201796550,00;-0,13;0,04;0,93;0,71;205961;;;;;
1983/1984;1060522,00;0,01;5435381442,00;0,09;5680986500,00;0,09;0,04;0,92;0,71;214095;;;;;
1984/1985;1078638,00;0,02;5859883622,00;0,08;6145270000,00;0,08;0,05;0,93;0,72;223420;;;;;
1985/1986;1084951,00;0,01;6105393784,00;0,04;6464060277,00;0,05;0,06;0,94;0,73;228193;;;;;
1986/1987;1126872,00;0,04;6373238576,00;0,04;6689247137,00;0,03;0,05;1,00;0,71;237857;;;;;
1987/1988;1151613,00;0,02;6590701115,00;0,03;6889777935,00;0,03;0,04;0,97;0,70;245831;;;;;
1988/1989;1196636,00;0,04;6986105898,00;0,06;7337830336,00;0,07;0,05;0,98;0,73;252518;;;;;
1989/1990;1232618,00;0,03;7201068113,00;0,03;7634669960,00;0,04;0,06;1,00;0,73;284661;;;;;
1990/1991;1268538,00;0,03;7426490766,00;0,03;7697377076,00;0,01;0,04;1,00;0,74;290070;;;;;
1991/1992;1286335,00;0,01;7548660345,00;0,02;7928532199,00;0,03;0,05;0,98;0,73;299948;;;;;
1992/1993;1313385,00;0,02;7688164852,00;0,02;8145319531,00;0,03;0,06;1,00;0,71;329969;;;;;
1993/1994;1383431,00;0,05;8047317773,00;0,05;8494913446,00;0,04;0,05;1,00;0,73;359516;;;;;
1994/1995;1426277,00;0,03;8202460186,00;0,02;8738907153,00;0,03;0,06;1,00;0,73;386361;;;;;
1995/1996;1469256,00;0,03;8419518677,00;0,03;9021770028,00;0,03;0,07;1,00;0,73;428035;;;;;
1996/1997;1585122,00;0,08;8941330717,00;0,06;9571358173,00;0,06;0,07;1,00;0,74;451751;;;;;
1997/1998;1585060,00;0,00;9183151356,00;0,03;9813695486,00;0,03;0,06;1,00;0,76;477416;;;;;
1998/1999;1601635,00;0,01;9073412900,00;-0,01;9851495987,00;0,00;0,08;1,00;0,77;505501;;;;;
1999/2000;1572339,00;-0,02;9195922772,00;0,01;9956607592,00;0,01;0,08;0,99;0,77;523176;;;;;
2000/2001;1592211,00;0,01;9407440209,00;0,02;10105748000,00;0,01;0,07;0,99;0,79;525551;;;;;
2001/2002;1610173,00;0,01;9589115852,00;0,02;10224641034,00;0,01;0,06;0,98;0,79;548702;;;;;
2002/2003;1650089,00;0,02;10015115502,00;0,04;10552641000,00;0,03;0,05;0,98;0,78;533527;;;;;
2003/2004;1667942,00;0,01;10290977595,00;0,03;10803947948,00;0,02;0,05;1,00;0,74;564527;;;;;
2004/2005;1765855,00;0,06;10457948645,00;0,02;11053953456,00;0,02;0,05;1,00;0,77;585130;;;;;
2005/2006;1783038,00;0,01;10556793479,00;0,01;11186048110,00;0,01;0,06;1,00;0,73;602455;;;;;
2006/2007;1857178,00;0,04;10963525073,00;0,04;11580771534,00;0,04;0,05;0,98;0,74;617247;;;;;
2007/2008;1890043,00;0,02;11163191491,69;0,02;11751787312,00;0,01;0,05;0,97;0,76;632112;;;;;
2008/2009;1897005,00;0,00;10920221425,45;-0,02;11504658024,00;-0,02;0,05;0,96;0,74;647636;;;;;
2009/2010;1812881,00;-0,04;10924656709,00;0,00;11495870884,00;0,00;0,05;0,96;0,74;662727;;;;;
2010/2011;1817870,00;0,00;10836548455,76;-0,01;11467431990,00;0,00;0,06;0,95;0,75;675059;;;;;
2011/2012;1893125,16;0,04;10798574412,15;0,00;11463371189,05;0,00;0,06;0,99;0,74;700040;;;;;
2012/2013;1828467,74;-0,03;10744964893,80;0,00;11412377063,00;0,00;0,06;0,99;0,75;711095;;;;;
2013/2014;1756715,61;-0,04;10549872192,00;-0,02;11236882178,00;-0,02;0,06;0,98;0,76;723593;;;;;
2014/2015;1713184,64;-0,02;10186830978,35;-0,03;11036257466,64;-0,02;0,08;0,98;0,77;724477;;;;;
2015/2016;1713437,38;0,00;9984286923,12;-0,02;11182249956,78;0,01;0,11;0,99;0,76;734005;;;;;
2016/2017;1729268,00;0,01;10290295040,00;0,03;11134783813,00;0,00;0,08;0,99;0,75;743331;;;;;
2017/2018;1681752,00;-0,03;10238624410,00;-0,01;11023465485,07;-0,01;0,07;0,99;0,72;768064;;;;;
2018/2019;1708346,72;0,02;10316741850,16;0,01;11031571314,33;0,00;0,06;0,99;0,76;777143;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
